Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Mauritania,Ouguiya,MRU,51.5964,01/09/2024,30/09/2024
Mauritius,Rupee,MUR,60.0434,01/09/2024,30/09/2024
Mexico,Mexican Peso,MXN,24.7286,01/09/2024,30/09/2024
Moldova,Leu,MDL,22.8052,01/09/2024,30/09/2024
Mongolia,Tugrik,MNT,4432.3478,01/09/2024,30/09/2024
Montserrat,E Caribbean Dollar,XCD,3.5198,01/09/2024,30/09/2024
Morocco,Dirham,MAD,12.6391,01/09/2024,30/09/2024
Mozambique,Metical,MZN,83.2702,01/09/2024,30/09/2024
Myanmar,Kyat,MMK,2734.7513,01/09/2024,30/09/2024
Nepal,Rupee,NPR,175.0580,01/09/2024,30/09/2024
New Caledonia,CFP Franc,XPF,139.9076,01/09/2024,30/09/2024
New Zealand,Dollar,NZD,2.1224,01/09/2024,30/09/2024
Nicaragua,Gold Cordoba,NIO,47.9126,01/09/2024,30/09/2024
Niger Republic,CFA Franc,XOF,769.0610,01/09/2024,30/09/2024
Nigeria,Naira,NGN,2053.0729,01/09/2024,30/09/2024
Norway,Norwegian Krone,NOK,13.6929,01/09/2024,30/09/2024
Oman,Rial,OMR,0.5017,01/09/2024,30/09/2024
Pakistan,Rupee,PKR,363.7631,01/09/2024,30/09/2024
Panama,Balboa,PAB,1.3032,01/09/2024,30/09/2024
Papua New Guinea,Kina,PGK,5.1015,01/09/2024,30/09/2024
Paraguay,Guarani,PYG,9860.4217,01/09/2024,30/09/2024
Peru,New Sol,PEN,4.8875,01/09/2024,30/09/2024
Philippines,Peso,PHP,73.5794,01/09/2024,30/09/2024
Poland,Zloty,PLN,5.0235,01/09/2024,30/09/2024
Qatar,Riyal,QAR,4.7438,01/09/2024,30/09/2024
Romania,New Leu,RON,5.8356,01/09/2024,30/09/2024
Russia,Rouble,RUB,119.4096,01/09/2024,30/09/2024
Rwanda,Franc,RWF,1751.8573,01/09/2024,30/09/2024
Saudi Arabia,Riyal,SAR,4.8872,01/09/2024,30/09/2024
Senegal,CFA Franc,XOF,769.0610,01/09/2024,30/09/2024
Serbia,Dinar,RSD,137.2516,01/09/2024,30/09/2024
Seychelles,Rupee,SCR,18.8230,01/09/2024,30/09/2024
Sierra Leone,Leone,SLE,29.2695,01/09/2024,30/09/2024
Singapore,Dollar,SGD,1.7034,01/09/2024,30/09/2024
Soloman Islands,Dollar,SBD,10.8324,01/09/2024,30/09/2024
Somali Republic,Schilling,SOS,739.2969,01/09/2024,30/09/2024
South Africa,Rand,ZAR,23.2244,01/09/2024,30/09/2024
South Korea,Won,KRW,1741.8249,01/09/2024,30/09/2024
Sri Lanka,Rupee,LKR,391.6043,01/09/2024,30/09/2024
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.5198,01/09/2024,30/09/2024
St Lucia,E Caribbean Dollar,XCD,3.5198,01/09/2024,30/09/2024
St Vincent,E Caribbean Dollar,XCD,3.5198,01/09/2024,30/09/2024
Sudan Republic,Pound,SDG,783.8917,01/09/2024,30/09/2024
Surinam,Dollar,SRD,37.5680,01/09/2024,30/09/2024
Swaziland,Lilangeni,SZL,23.2244,01/09/2024,30/09/2024
Sweden,Krona,SEK,13.3439,01/09/2024,30/09/2024
Switzerland,Franc,CHF,1.1145,01/09/2024,30/09/2024
Taiwan,Dollar,TWD,41.5736,01/09/2024,30/09/2024
Tanzania,Schilling,TZS,3517.3162,01/09/2024,30/09/2024
Thailand,Baht,THB,44.6688,01/09/2024,30/09/2024
Togo Republic,CFA Franc,XOF,769.0610,01/09/2024,30/09/2024
Tonga Islands,Pa'anga (AUS),TOP,3.0694,01/09/2024,30/09/2024
Trinidad/Tobago,Dollar,TTD,8.8207,01/09/2024,30/09/2024
Tunisia,Dinar,TND,3.9706,01/09/2024,30/09/2024
Turkey,Turkish  Lira,TRY,44.2254,01/09/2024,30/09/2024
Turkmenistan,New Manat,TMT,4.5660,01/09/2024,30/09/2024
UAE,Dirham,AED,4.7862,01/09/2024,30/09/2024
USA,Dollar,USD,1.3032,01/09/2024,30/09/2024
Uganda,Schilling,UGX,4847.0566,01/09/2024,30/09/2024
Ukraine,Hryvnia,UAH,53.9009,01/09/2024,30/09/2024
Uruguay,Peso,UYU,52.5090,01/09/2024,30/09/2024
Uzbekistan,Sum,UZS,16458.8451,01/09/2024,30/09/2024
Vanuatu,Vatu,VUV,154.7312,01/09/2024,30/09/2024
Venezuela,Bolivar Fuerte,VEF,4774687.2783,01/09/2024,30/09/2024
Vietnam,Dong,VND,32622.1043,01/09/2024,30/09/2024
Wallis & Futuna Islands,CFP Franc,XPF,139.9076,01/09/2024,30/09/2024
Western Samoa,Tala,WST,3.5441,01/09/2024,30/09/2024
Yemen (Rep of),Rial,YER,326.3379,01/09/2024,30/09/2024
Zambia,Kwacha,ZMW,33.8467,01/09/2024,30/09/2024
Zimbabwe,Zimbabwe Gold,ZWG,18.1904,01/09/2024,30/09/2024
